1.656,1.365,1.020,0.951,0.895,0.842,0.769,0.738,0.719,0.727,0.717,0.667,0.657,0.644,0.649,0.649,0.615,0.609,0.606,0.577,0.575,0.572,0.541,0.541,0.523,0.519,0.502,0.490,0.511,0.476,0.467,0.437,0.488,0.444,0.450,0.424,0.422,0.378,0.374,0.413,0.359,0.346,0.375,0.319,0.310,0.359,0.308,0.310,0.293,0.260,0.290,0.312,0.236,0.275,0.374,0.339,0.266,0.415,0.212,0.230,0.265,0.216,0.198,0.218,0.286,0.177,0.209,0.200,0.218,0.128,0.182,0.131,0.231,0.188,0.134,0.171,0.299,0.198,0.140,0.179,0.215,0.186,0.179,0.318,0.138,0.189,0.207,0.158,0.162,0.120,0.300,0.200,0.170,0.168,0.186,0.138,0.143,
0.141,0.215,0.187,0.128,0.134,0.149,0.139,0.157,0.135,0.146,0.126,0.190,0.191,0.193,0.208,0.146,0.139,0.095,0.105,0.148,0.186,0.116,0.145,0.139,0.151,0.267,0.112,0.061,0.155,0.165,0.152,0.123,0.114,0.144,0.107,0.356,0.177,0.152,0.186,0.134,0.169,0.108,0.121,0.146,0.235,0.089,0.133,0.145,0.145,0.113,0.232,0.214,0.135,0.244,0.156,0.160,0.166,0.148,0.126,0.133,0.192,0.134,0.100,0.116,0.070,0.151,0.143,0.159,0.101,0.103,0.142,0.095,0.160,0.158,0.153,0.147,0.116,0.104,0.136,0.081,0.117,0.140,0.113,0.181,0.159,0.082,0.097,0.100,0.136,0.111,0.114,0.099,0.077,0.120,0.269,0.107,0.112,
0.093,0.141,0.100,0.077,0.104,0.114,0.127,0.116,0.118,0.093,0.100,0.115,0.145,0.099,0.134,0.132,0.163,0.077,0.126,0.114,0.120,0.117,0.143,0.127,0.126,0.082,0.101,0.155,0.096,0.121,0.242,0.105,0.141,0.103,0.135,0.068,0.157,0.103,0.136,0.099,0.112,0.095,0.070,0.097,0.072,0.101,0.127,0.116,0.100,0.108,0.077,0.111,0.188,0.179,0.114,0.094,0.110,0.238,0.097,0.060,0.091,0.093,0.079,0.139,0.149,0.099,0.061,0.127,0.083,0.074,0.063,0.126,0.082,0.087,0.064,0.062,0.144,0.081,0.077,0.143,0.094,0.077,0.066,0.093,0.113,0.073,0.123,0.105,0.124,0.163,0.151,0.074,0.076,0.050,0.108,0.106,0.196,
0.094,0.057,0.141,0.085,0.100,0.120,0.080,0.143,0.046,0.087,0.091,0.095,0.110,0.093,0.061,0.101,0.074,0.094,0.052,0.045,0.098,0.090,0.065,0.139,0.086,0.120,0.077,0.079,0.118,0.084,0.054,0.092,0.067,0.101,0.100,0.034,0.087,0.102,0.094,0.055,0.066,0.111,0.093,0.075,0.089,0.054,0.056,0.062,0.079,0.089,0.095,0.061,0.081,0.078,0.056,0.051,0.097,0.062,0.046,0.089,0.099,0.086,0.200,0.096,0.060,0.056,0.076,0.108,0.089,0.143,0.121,0.105,0.076,0.081,0.077,0.090,0.080,0.126,0.080,0.087,0.051,0.057,0.068,0.108,0.062,0.124,0.054,0.070,0.109,0.097,0.102,0.060,0.079,0.132,0.099,0.136,0.231,
0.070,0.090,0.063,0.113,0.095,0.104,0.112,0.103,0.158,0.075,0.114,0.146,0.102,0.093,0.060,0.081,0.072,0.083,0.084,0.075,0.064,0.051,0.150,0.064,0.063,0.060,0.095,0.079,0.073,0.055,0.056,0.079,0.080,0.061,0.122,0.069,0.067,0.117,0.066,0.065,0.060,0.091,0.096,0.056,0.050,0.115,0.071,0.076,0.081,0.073,0.053,0.081,0.059,0.171,0.097,0.090,0.042,0.089,0.076,0.083,0.045,0.047,0.051,0.047,0.066,0.141,0.060,0.060,0.053,0.065,0.082,0.034,0.091,0.060,0.062,0.060,0.105,0.079,0.096,0.103,0.053,0.068,0.071,0.063,0.077,0.071,0.070,0.064,0.066,0.054,0.061,0.035,0.071,0.071,0.116,0.094,0.057,
0.063,0.089,0.060,0.058,0.056,0.064,0.081,0.085,0.090,0.039,0.079,0.055,0.058,0.058,0.038,0.050,0.039,0.081,0.038,0.058,0.050,0.039,0.074,0.079,0.054,0.033,0.046,0.061,0.089,0.044,0.056,0.072,0.090,0.060,0.054,0.042,0.060,0.095,0.091,0.047,0.057,0.031,0.089,0.072,0.138,0.079,0.046,0.108,0.079,0.062,0.079,0.065,0.078,0.082,0.040,0.045,0.068,0.067,0.070,0.045,0.042,0.130,0.058,0.069,0.050,0.082,0.040,0.037,0.048,0.043,0.031,0.074,0.087,0.094,0.079,0.051,0.029,0.103,0.083,0.045,0.031,0.046,0.068,0.052,0.085,0.072,0.069,0.063,0.037,0.073,0.083,0.053,0.105,0.060,0.070,0.099,0.037,
0.030,0.064,0.051,0.087,0.052,0.055,0.041,0.053,0.095,0.065,0.055,0.049,0.087,0.073,0.076,0.051,0.053,0.040,0.044,0.046,0.058,0.068,0.042,0.042,0.028,0.047,0.056,0.052,0.055,0.078,0.047,0.077,0.030,0.041,0.052,0.030,0.052,0.086,0.061,0.030,0.040,0.064,0.063,0.053,0.044,0.032,0.065,0.078,0.054,0.033,0.026,0.071,0.047,0.047,0.046,0.039,0.056,0.028,0.052,0.069,0.024,0.056,0.043,0.048,0.039,0.055,0.053,0.091,0.043,0.026,0.070,0.034,0.053,0.056,0.060,0.077,0.059,0.051,0.088,0.058,0.037,0.056,0.041,0.087,0.067,0.086,0.073,0.076,0.090,0.061,0.090,0.072,0.066,0.043,0.029,0.054,0.058,
0.057,0.033,0.038,0.042,0.080,0.045,0.090,0.039,0.068,0.065,0.051,0.058,0.044,0.048,0.039,0.040,0.040,0.065,0.066,0.043,0.066,0.054,0.044,0.057,0.034,0.082,0.039,0.064,0.039,0.026,0.060,0.045,0.041,0.049,0.034,0.043,0.060,0.033,0.060,0.048,0.044,0.034,0.038,0.064,0.037,0.042,0.051,0.033,0.039,0.017,0.051,0.053,0.038,0.047,0.104,0.039,0.039,0.063,0.032,0.056,0.096,0.033,0.047,0.045,0.029,0.101,0.048,0.050,0.030,0.039,0.049,0.053,0.058,0.041,0.045,0.043,0.064,0.034,0.039,0.041,0.042,0.073,0.058,0.074,0.028,0.048,0.050,0.060,0.073,0.056,0.048,0.061,0.037,0.049,0.051,0.059,0.028,
0.056,0.067,0.038,0.028,0.051,0.056,0.068,0.032,0.051,0.024,0.033,0.037,0.062,0.068,0.038,0.030,0.033,0.033,0.054,0.034,0.059,0.044,0.039,0.043,0.050,0.038,0.036,0.048,0.041,0.028,0.046,0.044,0.044,0.051,0.053,0.036,0.040,0.062,0.044,0.049,0.051,0.043,0.063,0.039,0.042,0.047,0.037,0.039,0.046,0.057,0.066,0.046,0.024,0.114,0.049,0.038,0.037,0.029,0.041,0.082,0.043,0.043,0.044,0.036,0.064,0.031,0.059,0.062,0.021,0.029,0.060,0.030,0.044,0.039,0.062,0.062,0.038,0.040,0.035,0.041,0.083,0.034,0.045,0.047,0.062,0.047,0.061,0.047,0.050,0.057,0.063,0.043,0.031,0.058,0.073,0.060,0.071,
0.028,0.039,0.066,0.041,0.021,0.033,0.041,0.050,0.050,0.062,0.029,0.024,0.035,0.036,0.059,0.035,0.045,0.046,0.047,0.041,0.064,0.043,0.046,0.043,0.041,0.035,0.030,0.054,0.050,0.026,0.052,0.035,0.058,0.048,0.027,0.038,0.034,0.065,0.029,0.050,0.043,0.060,0.019,0.024,0.057,0.035,0.037,0.045,0.034,0.033,0.034,0.043,0.043,0.049,0.052,0.021,0.061,0.024,0.059,0.046,0.032,0.029,0.054,0.070,0.023,0.083,0.046,0.048,0.033,0.021,0.048,0.048,0.034,0.039,0.038,0.035,0.040,0.035,0.030,0.059,0.030,0.078,0.067,0.056,0.039,0.027,0.050,0.059,0.044,0.041,0.031,0.043,0.046,0.118,0.029,0.058,0.070,
0.029,0.057,0.039,0.035,0.044,0.032,0.037,0.048,0.041,0.034,0.076,0.042,0.062,0.024,0.041,0.024,0.044,0.028,0.038,0.039,0.039,0.032,0.036,0.067,0.028,0.049,0.035,0.056,0.050,0.042,0.036,0.075,0.041,0.034,0.050,0.037,0.106,0.021,0.069,0.048,0.102,0.037,0.070,0.072,0.147,0.052,0.051,0.060,0.067,0.056,0.028,0.072,0.043,0.062,0.058,0.047,0.071,0.045,0.062,0.060,0.096,0.055,0.051,0.030,0.053,0.055,0.040,0.051,0.057,0.059,0.053,0.078,0.065,0.055,0.040,0.054,0.036,0.055,0.048,0.051,0.042,0.045,0.089,0.077,0.027,0.059,0.060,0.053,0.058,0.051,0.047,0.051,0.043,0.039,0.052,0.036,0.025,
0.039,0.026,0.050,0.046,0.029,0.060,0.176,0.046,0.068,0.080,0.266,0.062,0.057,0.082,0.118,0.096,0.075,0.062,0.053,0.093,0.083,0.119,0.068,0.055,0.061,0.054,0.116,0.084,0.064,0.062,0.038,0.035,0.097,0.068,0.079,0.079,0.098,0.075,0.076,0.078,0.076,0.144,0.115,0.059,0.068,0.052,0.085,0.047,0.097,0.070,0.047,0.054,0.029,0.060,0.058,0.041,0.087,0.072,0.063,0.037,0.035,0.061,0.040,0.053,0.051,0.058,0.040,0.030,0.057,0.033,0.034,0.051,0.035,0.040,0.049,0.053,0.046,0.052,0.040,0.067,0.048,0.059,0.050,0.072,0.049,0.036,0.029,0.039,0.044,0.046,0.036,0.068,0.075,0.033,0.055,0.053,0.067,
0.057,0.046,0.050,0.046,0.031,0.046,0.045,0.031,0.029,0.055,0.042,0.019,0.060,0.062,0.046,0.023,0.033,0.049,0.047,0.047,0.033,0.040,0.047,0.047,0.028,0.050,0.044,0.034,0.034,0.062,0.040,0.065,0.028,0.028,0.048,0.061,0.048,0.066,0.028,0.049,0.051,0.039,0.034,0.057,0.042,0.036,0.044,0.038,0.023,0.035,0.035,0.049,0.039,0.030,0.049,0.045,0.028,0.030,0.032,0.036,0.035,0.037,0.029,0.038,0.025,0.056,0.042,0.042,0.034,0.048,0.033,0.040,0.039,0.032,0.036,0.032,0.046,0.028,0.028,0.040,0.052,0.033,0.035,0.033,0.037,0.086,0.033,0.041,0.047,0.049,0.039,0.034,0.047,0.068,0.032,0.028,0.025,
0.044,0.017,0.034,0.038,0.035,0.037,0.036,0.054,0.037,0.031,0.034,0.031,0.035,0.039,0.052,0.024,0.046,0.023,0.031,0.042,0.043,0.033,0.025,0.020,0.040,0.043,0.029,0.036,0.016,0.055,0.032,0.042,0.023,0.054,0.021,0.034,0.059,0.044,0.038,0.026,0.060,0.021,0.030,0.028,0.025,0.032,0.051,0.042,0.038,0.033,0.028,0.033,0.040,0.061,0.029,0.034,0.029,0.064,0.027,0.022,0.038,0.057,0.036,0.031,0.037,0.047,0.037,0.034,0.037,0.031,0.029,0.024,0.028,0.031,0.039,0.042,0.033,0.058,0.033,0.036,0.023,0.048,0.063,0.063,0.037,0.032,0.038,0.040,0.037,0.027,0.040,0.014,0.047,0.026,0.043,0.040,0.016,
